# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-F" "GFF" "-a" "GCF_000006945.2_ASM694v2_genomic.gff" "-o" "analysis_results/counts/gene_counts.txt" "-t" "gene" "-g" "locus_tag" "analysis_results/aligned/ERR12322786_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	analysis_results/aligned/ERR12322786_sorted.bam
STM2390	NC_003197.2	2501739	2502036	-	298	1511
STM2391	NC_003197.2	2502255	2503701	+	1447	4720
STM2392	NC_003197.2	2503762	2504530	-	769	2579
STM2393	NC_003197.2	2504792	2505747	+	956	2912
STM2394	NC_003197.2	2505821	2505892	+	72	430
STM2395	NC_003197.2	2506054	2507005	-	952	3125
STM2396	NC_003197.2	2507260	2508512	-	1253	3473
STM2397	NC_003197.2	2508497	2510509	-	2013	5771
STM2398	NC_003197.2	2510500	2511698	-	1199	3715
STM2399	NC_003197.2	2512122	2513520	+	1399	4525
STM2400	NC_003197.2	2513796	2514053	-	258	1162
STM2401	NC_003197.2	2514550	2515480	+	931	2994
STM2402	NC_003197.2	2516004	2517251	-	1248	4391
STM2403	NC_003197.2	2517963	2518944	-	982	3478
STM2404	NC_003197.2	2519120	2520367	+	1248	3850
STM2405	NC_003197.2	2520387	2522046	-	1660	5144
STM2406	NC_003197.2	2522205	2523217	+	1013	3435
STM2407	NC_003197.2	2523318	2523657	+	340	1307
STM2408	NC_003197.2	2523718	2524969	-	1252	3785
STM2409	NC_003197.2	2525190	2526504	+	1315	3882
STM2410	NC_003197.2	2526557	2528746	-	2190	7032
STM2411	NC_003197.2	2528938	2529010	-	73	358
STM2412	NC_003197.2	2529056	2529128	-	73	325
STM2413	NC_003197.2	2529340	2529714	+	375	1100
STM2414	NC_003197.2	2529716	2530108	+	393	886
STM2415	NC_003197.2	2530162	2531588	-	1427	4869
STM2416	NC_003197.2	2531834	2531906	+	73	350
STM2417	NC_003197.2	2531955	2532027	+	73	50
STM2418	NC_003197.2	2532072	2532144	+	73	11
STM2419	NC_003197.2	2532152	2532224	+	73	284
STM2420	NC_003197.2	2532393	2533356	-	964	3502
STM2421	NC_003197.2	2533546	2534814	-	1269	4145
STM2422	NC_003197.2	2534857	2535746	-	890	3021
STM2423	NC_003197.2	2535932	2536707	+	776	2552
STM2424	NC_003197.2	2536769	2537695	-	927	2991
STM2425	NC_003197.2	2537774	2538783	+	1010	2855
STM2426	NC_003197.2	2538780	2539007	-	228	215
STM2427	NC_003197.2	2539000	2541025	-	2026	6256
STM2428	NC_003197.2	2541087	2542082	-	996	3069
STM2429	NC_003197.2	2542287	2543066	+	780	2962
STM2430	NC_003197.2	2543157	2544201	+	1045	3706
STM2431	NC_003197.2	2544492	2544842	+	351	1243
STM2432	NC_003197.2	2544880	2546618	+	1739	5252
STM2433	NC_003197.2	2546647	2547168	+	522	1768
STM2434	NC_003197.2	2547317	2547563	-	247	676
STM2435	NC_003197.2	2547553	2548431	-	879	2316
STM2436	NC_003197.2	2548498	2549794	+	1297	3926
STM2437	NC_003197.2	2549801	2550528	+	728	1797
STM2438	NC_003197.2	2550568	2550967	+	400	1441
STM2439	NC_003197.2	2550976	2551519	+	544	0
STM2440	NC_003197.2	2551650	2552569	-	920	3190
STM2441	NC_003197.2	2552629	2553739	-	1111	2945
STM2442	NC_003197.2	2553716	2554596	-	881	1983
STM2443	NC_003197.2	2554591	2555438	-	848	2065
STM2444	NC_003197.2	2555424	2556546	-	1123	2864
STM2445	NC_003197.2	2556598	2557404	-	807	2748
STM2446	NC_003197.2	2557627	2558537	-	911	3043
STM2447	NC_003197.2	2558621	2559207	-	587	1786
STM2448	NC_003197.2	2559258	2559707	-	450	896
STM2449	NC_003197.2	2559694	2560230	-	537	1455
STM2450	NC_003197.2	2560324	2561201	+	878	2419
STM2451	NC_003197.2	2561195	2562103	+	909	2447
STM2452	NC_003197.2	2562124	2562453	+	330	1018
STM2453	NC_003197.2	2562575	2563859	+	1285	751
STM2454	NC_003197.2	2564059	2565126	-	1068	3325
STM2455	NC_003197.2	2565159	2565666	-	508	1367
STM2456	NC_003197.2	2565666	2566336	-	671	1627
STM2457	NC_003197.2	2566335	2567245	-	911	2202
STM2458	NC_003197.2	2567250	2568624	-	1375	3807
STM2459	NC_003197.2	2568623	2570040	-	1418	3816
STM2460	NC_003197.2	2570023	2571264	-	1242	3375
STM2461	NC_003197.2	2571369	2572569	-	1201	3827
STM2462	NC_003197.2	2572546	2573397	-	852	2157
STM2463	NC_003197.2	2573396	2574813	-	1418	3790
STM2464	NC_003197.2	2574811	2575110	-	300	864
STM2465	NC_003197.2	2575211	2575513	-	303	976
STM2466	NC_003197.2	2575542	2576566	-	1025	2905
STM2467	NC_003197.2	2576555	2577370	-	816	1960
STM2468	NC_003197.2	2577355	2578060	-	706	1523
STM2469	NC_003197.2	2578022	2578510	-	489	989
STM2470	NC_003197.2	2578514	2578865	-	352	1217
STM2471	NC_003197.2	2579330	2579794	-	465	1596
STM2472	NC_003197.2	2579978	2582270	-	2293	7633
STM2473	NC_003197.2	2582515	2583479	+	965	2942
STM2474	NC_003197.2	2583487	2585499	+	2013	6086
STM2475	NC_003197.2	2585562	2585800	-	239	789
STM2476	NC_003197.2	2585920	2586980	-	1061	3910
STM2477	NC_003197.2	2587088	2587674	-	587	1932
STM2478	NC_003197.2	2587855	2589165	+	1311	4274
STM2479	NC_003197.2	2589614	2591584	-	1971	6798
STM2480	NC_003197.2	2591746	2593461	+	1716	5980
STM2481	NC_003197.2	2593632	2596759	+	3128	10028
STM2482	NC_003197.2	2597322	2597689	+	368	1116
STM2483	NC_003197.2	2597681	2598820	+	1140	2992
STM2484	NC_003197.2	2598841	2599048	+	208	352
STM2485	NC_003197.2	2599075	2601104	-	2030	6274
STM2486	NC_003197.2	2601109	2601981	-	873	2655
STM2487	NC_003197.2	2602103	2602982	-	880	2525
STM2488	NC_003197.2	2602991	2604037	-	1047	2860
STM2489	NC_003197.2	2604042	2604982	-	941	2641
STM2490	NC_003197.2	2605000	2605638	+	639	1398
STM2491	NC_003197.2	2605621	2606108	+	488	1093
STM2492	NC_003197.2	2606155	2606508	-	354	1911
STM2493	NC_003197.2	2606695	2607776	-	1082	3731
STM2494	NC_003197.2	2607957	2609433	+	1477	5050
STM2495	NC_003197.2	2609462	2609832	+	371	800
STM2496	NC_003197.2	2609859	2610584	-	726	2195
STM2497	NC_003197.2	2610655	2611956	-	1302	4107
STM2498	NC_003197.2	2612032	2612819	-	788	2577
STM2499	NC_003197.2	2613008	2614109	+	1102	3437
STM2500	NC_003197.2	2614095	2614747	+	653	2021
STM2501	NC_003197.2	2614919	2617002	+	2084	6222
STM2502	NC_003197.2	2617007	2618548	+	1542	4423
STM2503	NC_003197.2	2618584	2620797	-	2214	6966
STM2504	NC_003197.2	2620894	2621031	-	138	435
STM2505	NC_003197.2	2621102	2621367	-	266	83
STM2506	NC_003197.2	2621198	2621401	+	204	0
STM2507	NC_003197.2	2621480	2621716	-	237	577
STM2508	NC_003197.2	2621942	2622271	+	330	987
STM2509	NC_003197.2	2622291	2622652	-	362	1105
STM2510	NC_003197.2	2622804	2624396	-	1593	5508
STM2511	NC_003197.2	2624451	2626003	-	1553	4891
STM2512	NC_003197.2	2626078	2627427	+	1350	4656
STM2513	NC_003197.2	2627589	2633715	-	6127	11660
STM2514	NC_003197.2	2634402	2641716	-	7315	20946
STM2515	NC_003197.2	2641875	2647476	-	5602	12611
STM2516	NC_003197.2	2647592	2648558	-	967	2547
STM2517	NC_003197.2	2648609	2650807	-	2199	6998
STM2518	NC_003197.2	2651147	2651380	-	234	1050
STM2519	NC_003197.2	2651457	2652941	-	1485	4694
STM2520	NC_003197.2	2653048	2654236	-	1189	3522
STM2521	NC_003197.2	2654237	2654872	-	636	1545
STM2522	NC_003197.2	2654871	2656161	-	1291	3855
STM2523	NC_003197.2	2656256	2657384	-	1129	3815
STM2524	NC_003197.2	2657401	2658405	-	1005	3019
STM2525	NC_003197.2	2658697	2659875	-	1179	3910
STM2526	NC_003197.2	2660070	2660510	-	441	1721
STM2527	NC_003197.2	2660622	2661485	-	864	2678
STM2528	NC_003197.2	2661485	2662300	-	816	2203
STM2529	NC_003197.2	2662287	2662923	-	637	1425
STM2530	NC_003197.2	2662913	2665318	-	2406	7830
STM2531	NC_003197.2	2665447	2667762	-	2316	7023
STM2532	NC_003197.2	2667763	2672709	-	4947	14996
STM2533	NC_003197.2	2672894	2673748	+	855	3134
STM2534	NC_003197.2	2673989	2674663	+	675	0
STM2535	NC_003197.2	2675232	2676017	-	786	2631
STM2536	NC_003197.2	2676118	2677414	-	1297	4205
STM2537	NC_003197.2	2677648	2677857	-	210	566
STM2538	NC_003197.2	2677860	2678205	-	346	534
STM2539	NC_003197.2	2678197	2680059	-	1863	5426
STM2540	NC_003197.2	2680060	2680608	-	549	1811
STM2541	NC_003197.2	2680771	2681105	-	335	1034
STM2542	NC_003197.2	2681123	2681523	-	401	860
STM2543	NC_003197.2	2681537	2682767	-	1231	4024
STM2544	NC_003197.2	2682932	2683441	-	510	2164
STM2545	NC_003197.2	2683586	2684330	-	745	2476
STM2546	NC_003197.2	2684427	2685239	+	813	2985
STM2547	NC_003197.2	2685372	2686262	+	891	3197
STM2548	NC_003197.2	2686437	2687487	+	1051	3472
STM2549	NC_003197.2	2687483	2688309	+	827	2067
STM2550	NC_003197.2	2688313	2689333	+	1021	2597
STM2551	NC_003197.2	2689334	2690325	-	992	2177
STM2552	NC_003197.2	2690311	2690956	-	646	1830
STM2553	NC_003197.2	2691059	2692352	+	1294	3822
STM2554	NC_003197.2	2692347	2693495	-	1149	3459
STM2555	NC_003197.2	2693682	2695130	-	1449	4745
STM2556	NC_003197.2	2695248	2696450	+	1203	4157
STM2557	NC_003197.2	2696564	2698176	+	1613	4918
STM2558	NC_003197.2	2698371	2699868	+	1498	4640
STM2559	NC_003197.2	2699938	2702095	+	2158	6081
STM2560	NC_003197.2	2702140	2703611	+	1472	4223
STM2561	NC_003197.2	2703660	2704089	-	430	893
STM2562	NC_003197.2	2704075	2705423	-	1349	3582
STM2563	NC_003197.2	2705409	2706173	-	765	2095
STM2564	NC_003197.2	2706175	2707617	-	1443	4617
STM2565	NC_003197.2	2708255	2712297	-	4043	11687
STM2566	NC_003197.2	2712164	2712397	+	234	1
STM2567	NC_003197.2	2712385	2713942	+	1558	4113
STM2568	NC_003197.2	2713993	2714544	-	552	1500
STM2569	NC_003197.2	2714569	2715216	-	648	1506
STM2570	NC_003197.2	2715208	2716578	-	1371	3689
STM2571	NC_003197.2	2716580	2717484	-	905	2487
STM2572	NC_003197.2	2717577	2718437	+	861	2710
STM2573	NC_003197.2	2718476	2719400	-	925	2366
STM2574	NC_003197.2	2719415	2720622	-	1208	3422
STM2575	NC_003197.2	2720727	2721653	+	927	2601
STM2576	NC_003197.2	2721679	2721951	+	273	798
STM2577	NC_003197.2	2722063	2722460	-	398	1151
STM2578	NC_003197.2	2722443	2723184	-	742	2027
STM2579	NC_003197.2	2723186	2723914	-	729	1803
STM2580	NC_003197.2	2723926	2724842	-	917	2503
STM2581	NC_003197.2	2724828	2725518	-	691	2115
STM2582	NC_003197.2	2725782	2726767	-	986	3005
STM2583	NC_003197.2	2726773	2728572	-	1800	5120
STM2584	NC_003197.2	2728973	2730470	+	1498	0
STM2585	NC_003197.2	2731352	2731902	+	551	0
STM2585A	NC_003197.2	2733014	2733241	+	228	17
STM2586	NC_003197.2	2733338	2733923	-	586	12
STM2587	NC_003197.2	2733906	2734735	-	830	0
STM2588	NC_003197.2	2734727	2737105	-	2379	417
STM2589	NC_003197.2	2737434	2740796	-	3363	0
STM2590	NC_003197.2	2740858	2741511	-	654	0
STM2591	NC_003197.2	2741403	2742009	-	607	0
STM2592	NC_003197.2	2742147	2742853	-	707	0
STM2593	NC_003197.2	2742855	2743192	-	338	0
STM2594	NC_003197.2	2743187	2746289	-	3103	207
STM2595	NC_003197.2	2746254	2746598	-	345	0
STM2596	NC_003197.2	2746589	2746990	-	402	0
STM2597	NC_003197.2	2747035	2747789	-	755	57
STM2598	NC_003197.2	2747789	2748197	-	409	0
STM2599	NC_003197.2	2748167	2749429	+	1263	0
STM2600	NC_003197.2	2749478	2750063	-	586	516
STM2601	NC_003197.2	2750084	2750472	-	389	0
STM2602	NC_003197.2	2750478	2750844	-	367	0
STM2603	NC_003197.2	2750895	2751930	-	1036	0
STM2604	NC_003197.2	2751978	2752332	-	355	0
STM2605	NC_003197.2	2752338	2753842	-	1505	0
STM2606	NC_003197.2	2753824	2755410	-	1587	0
STM2607	NC_003197.2	2755401	2755612	-	212	0
STM2608	NC_003197.2	2755588	2757526	-	1939	0
STM2609	NC_003197.2	2757491	2758036	-	546	0
STM2610	NC_003197.2	2758310	2758724	+	415	0
STM2611	NC_003197.2	2758960	2759418	-	459	526
STM2612	NC_003197.2	2759430	2759889	-	460	0
STM2613	NC_003197.2	2759866	2760202	-	337	0
STM2614	NC_003197.2	2760465	2761157	+	693	0
STM2615	NC_003197.2	2761650	2761723	-	74	0
STM2616	NC_003197.2	2762067	2762637	-	571	0
STM2617	NC_003197.2	2762903	2763587	-	685	980
STM2618	NC_003197.2	2763577	2763724	-	148	2
STM2619	NC_003197.2	2763714	2764331	-	618	905
STM2620	NC_003197.2	2764534	2765142	-	609	1392
STM2621	NC_003197.2	2765552	2765791	-	240	596
STM2622	NC_003197.2	2766077	2766370	-	294	0
STM2623	NC_003197.2	2766445	2766762	-	318	392
STM2624	NC_003197.2	2766753	2767106	-	354	289
STM2625	NC_003197.2	2767111	2767867	-	757	1015
STM2626	NC_003197.2	2767863	2768852	-	990	1551
STM2627	NC_003197.2	2768931	2769305	-	375	603
STM2628	NC_003197.2	2769611	2770040	+	430	0
STM2629	NC_003197.2	2770084	2770350	+	267	100
STM2630	NC_003197.2	2770336	2770501	+	166	0
STM2631	NC_003197.2	2770523	2770873	+	351	0
STM2632	NC_003197.2	2770988	2773885	+	2898	0
STM2633	NC_003197.2	2773844	2775005	+	1162	0
STM2634	NC_003197.2	2775040	2775287	+	248	279
STM2635	NC_003197.2	2775321	2775612	+	292	0
STM2636	NC_003197.2	2775590	2776825	-	1236	0
STM2637	NC_003197.2	2777317	2777808	-	492	1424
STM2638	NC_003197.2	2777793	2778768	-	976	2555
STM2639	NC_003197.2	2778749	2779417	-	669	1338
STM2640	NC_003197.2	2779431	2780026	-	596	1840
STM2641	NC_003197.2	2780431	2782053	+	1623	4623
STM2642	NC_003197.2	2782038	2782789	-	752	2144
STM2643	NC_003197.2	2782896	2784240	+	1345	3969
STM2644	NC_003197.2	2784258	2785163	-	906	2519
STM2645	NC_003197.2	2785247	2785847	+	601	1717
STM2646	NC_003197.2	2785909	2786307	-	399	1474
STM2647	NC_003197.2	2786599	2787300	+	702	2468
STM2648	NC_003197.2	2787416	2788465	-	1050	3854
STM2649	NC_003197.2	2788647	2789076	+	430	1682
STM2650	NC_003197.2	2789149	2789829	+	681	2282
STM2651	NC_003197.2	2789870	2792543	+	2674	8382
STM2652	NC_003197.2	2792640	2794013	+	1374	4149
STM2653	NC_003197.2	2794045	2794381	+	337	749
STM2654	NC_003197.2	2794378	2795691	-	1314	3611
STM2655	NC_003197.2	2795783	2796245	-	463	1408
STM2656	NC_003197.2	2796443	2796564	-	122	76
STM2657	NC_003197.2	2796758	2799767	-	3010	19509
STM2658	NC_003197.2	2799961	2800033	-	73	344
STM2659	NC_003197.2	2800121	2801663	-	1543	6282
STM2660	NC_003197.2	2802119	2804700	-	2582	7989
STM2661	NC_003197.2	2804822	2805564	-	743	2023
STM2662	NC_003197.2	2805550	2806542	-	993	2910
STM2663	NC_003197.2	2806644	2807399	+	756	2531
STM2665	NC_003197.2	2807659	2808009	+	351	1348
STM2666	NC_003197.2	2808106	2808160	+	55	318
STM2667	NC_003197.2	2808249	2809420	+	1172	3188
STM2668	NC_003197.2	2809381	2810296	-	916	2605
STM2669	NC_003197.2	2810347	2811477	-	1131	3015
STM2670	NC_003197.2	2811478	2812684	-	1207	3509
STM2671	NC_003197.2	2812974	2813506	+	533	1456
STM2672	NC_003197.2	2813485	2814719	+	1235	3362
STM2673	NC_003197.2	2814876	2815242	-	367	1154
STM2674	NC_003197.2	2815264	2816045	-	782	1963
STM2675	NC_003197.2	2816076	2816636	-	561	1339
STM2676	NC_003197.2	2816643	2816900	-	258	686
STM2677	NC_003197.2	2817205	2818579	-	1375	4501
STM2678	NC_003197.2	2818732	2819523	+	792	2572
STM2679	NC_003197.2	2819588	2820829	+	1242	4034
STM2680	NC_003197.2	2820944	2821555	+	612	165
STM2681	NC_003197.2	2821590	2822192	-	603	1407
STM2682	NC_003197.2	2822177	2822375	-	199	4
STM2683	NC_003197.2	2822288	2823181	+	894	2288
STM2684	NC_003197.2	2823254	2824928	+	1675	5131
STM2685	NC_003197.2	2825061	2825415	+	355	1313
STM2686	NC_003197.2	2825581	2825881	-	301	878
STM2687	NC_003197.2	2825861	2826337	-	477	1240
STM2688	NC_003197.2	2826477	2826969	+	493	2036
STM2690	NC_003197.2	2839117	2840531	+	1415	3901
STM2691	NC_003197.2	2840521	2842708	+	2188	5996
STM2692	NC_003197.2	2842716	2843879	+	1164	3721
STM2693	NC_003197.2	2844217	2844316	+	100	781
STM2694	NC_003197.2	2844431	2844666	-	236	265
STM2695	NC_003197.2	2844718	2845824	-	1107	4927
STM2696	NC_003197.2	2845815	2846307	-	493	1390
STM2697	NC_003197.2	2846297	2849109	-	2813	2552
STM2698	NC_003197.2	2849097	2849219	-	123	0
STM2699	NC_003197.2	2849231	2849540	-	310	707
STM2700	NC_003197.2	2849588	2850109	-	522	1485
STM2701	NC_003197.2	2850113	2851292	-	1180	2592
STM2702	NC_003197.2	2851388	2851958	-	571	933
STM2703	NC_003197.2	2851910	2852994	+	1085	60
STM2704	NC_003197.2	2852998	2853408	+	411	0
STM2705	NC_003197.2	2853412	2854033	-	622	0
STM2706	NC_003197.2	2853999	2855573	-	1575	884
STM2707	NC_003197.2	2855570	2856180	-	611	866
STM2708	NC_003197.2	2856168	2857084	-	917	1671
STM2709	NC_003197.2	2857063	2857428	-	366	550
STM2710	NC_003197.2	2857419	2858001	-	583	1759
STM2711	NC_003197.2	2858066	2858517	-	452	1141
STM2712	NC_003197.2	2858505	2858944	-	440	744
STM2713	NC_003197.2	2858899	2859190	-	292	2
STM2714	NC_003197.2	2859032	2859465	-	434	235
STM2715	NC_003197.2	2859837	2860351	-	515	738
STM2716	NC_003197.2	2860327	2860546	-	220	402
STM2717	NC_003197.2	2860546	2860756	-	211	163
STM2718	NC_003197.2	2860749	2861221	-	473	1027
STM2719	NC_003197.2	2861307	2861968	-	662	2419
STM2720	NC_003197.2	2861964	2863052	-	1089	2752
STM2721	NC_003197.2	2863063	2863902	-	840	1797
STM2722	NC_003197.2	2864035	2865805	+	1771	5218
STM2723	NC_003197.2	2865798	2866845	+	1048	1665
STM2724	NC_003197.2	2866931	2868682	-	1752	0
STM2726	NC_003197.2	2868896	2869633	-	738	0
STM2727	NC_003197.2	2869687	2869997	-	311	548
STM2728	NC_003197.2	2869931	2870126	-	196	429
STM2729	NC_003197.2	2870272	2872708	-	2437	10160
STM2730	NC_003197.2	2872692	2873556	-	865	1527
STM2731	NC_003197.2	2873546	2873781	-	236	630
STM2732	NC_003197.2	2873773	2874014	-	242	336
STM2733	NC_003197.2	2874074	2874422	-	349	1060
STM2734	NC_003197.2	2874629	2875093	+	465	0
STM2735	NC_003197.2	2875041	2875281	-	241	226
STM2736	NC_003197.2	2875282	2875797	-	516	1685
STM2737	NC_003197.2	2875827	2876069	-	243	473
STM2738	NC_003197.2	2876177	2876815	+	639	42
STM2739	NC_003197.2	2876819	2877844	+	1026	1122
STM2740	NC_003197.2	2878160	2879237	+	1078	0
STM2741	NC_003197.2	2879461	2880058	+	598	0
STM2742	NC_003197.2	2880448	2881641	+	1194	0
STM2743	NC_003197.2	2881976	2882803	-	828	0
STM2744	NC_003197.2	2883247	2883469	+	223	0
STM2745	NC_003197.2	2883505	2885574	+	2070	0
STM2746	NC_003197.2	2886073	2887360	+	1288	0
STM2747	NC_003197.2	2887399	2888223	+	825	0
STM2748	NC_003197.2	2888377	2888738	-	362	142
STM2749	NC_003197.2	2888824	2889112	+	289	0
STM2750	NC_003197.2	2889217	2889746	+	530	0
STM2751	NC_003197.2	2889736	2890117	+	382	0
STM2752	NC_003197.2	2890106	2891094	+	989	0
STM2753	NC_003197.2	2891098	2892118	+	1021	0
STM2754	NC_003197.2	2892413	2893615	+	1203	0
STM2755	NC_003197.2	2893689	2894331	-	643	0
STM2756	NC_003197.2	2894348	2894919	-	572	0
STM2757	NC_003197.2	2894911	2895760	-	850	0
STM2758	NC_003197.2	2895883	2897432	-	1550	0
STM2759	NC_003197.2	2897642	2899326	+	1685	120
STM2760	NC_003197.2	2900435	2901318	+	884	0
STM2761	NC_003197.2	2901484	2903358	+	1875	0
STM2762	NC_003197.2	2903618	2904901	-	1284	0
STM2763	NC_003197.2	2905473	2906075	+	603	0
STM2764	NC_003197.2	2906456	2906923	-	468	0
STM2765	NC_003197.2	2907070	2907343	-	274	0
STM2766	NC_003197.2	2907789	2908434	-	646	0
STM2767	NC_003197.2	2908424	2910413	-	1990	0
STM2768	NC_003197.2	2910673	2910984	+	312	0
STM2769	NC_003197.2	2910967	2911847	+	881	2
STM2770	NC_003197.2	2912627	2913166	-	540	1632
STM2771	NC_003197.2	2913234	2914761	-	1528	3953
STM2772	NC_003197.2	2914839	2915418	+	580	745
STM2773	NC_003197.2	2916374	2917496	+	1123	3618
STM2774	NC_003197.2	2917570	2921230	+	3661	11290
STM2775	NC_003197.2	2921334	2922584	+	1251	3884
STM2776	NC_003197.2	2922609	2923551	+	943	2399
STM2777	NC_003197.2	2923593	2925778	-	2186	6309
STM2779	NC_003197.2	2926299	2926631	-	333	1214
STM2780	NC_003197.2	2926806	2927863	-	1058	3235
STM2781	NC_003197.2	2928377	2929306	+	930	2944
STM2782	NC_003197.2	2929591	2930495	+	905	2797
STM2783	NC_003197.2	2931217	2932237	-	1021	3309
STM2784	NC_003197.2	2932363	2933785	-	1423	4059
STM2785	NC_003197.2	2933765	2934446	-	682	2187
STM2786	NC_003197.2	2934587	2935571	+	985	3168
STM2787	NC_003197.2	2935577	2936017	+	441	1004
STM2788	NC_003197.2	2936022	2937542	+	1521	4782
STM2789	NC_003197.2	2937829	2938822	+	994	2901
STM2790	NC_003197.2	2938834	2940116	+	1283	3676
STM2791	NC_003197.2	2940126	2941586	+	1461	3997
STM2792	NC_003197.2	2941587	2942884	+	1298	3707
STM2793	NC_003197.2	2943003	2944414	+	1412	4356
STM2794	NC_003197.2	2944444	2945133	+	690	1908
STM2795	NC_003197.2	2945155	2945613	-	459	1192
STM2796	NC_003197.2	2945704	2945873	-	170	750
STM2797	NC_003197.2	2946045	2946344	+	300	849
STM2798	NC_003197.2	2946343	2946881	+	539	1467
STM2799	NC_003197.2	2947229	2947770	-	542	2028
STM2800	NC_003197.2	2948316	2948778	+	463	1485
STM2801	NC_003197.2	2948813	2949174	-	362	1079
STM2802	NC_003197.2	2949313	2949651	+	339	1153
STM2803	NC_003197.2	2949735	2951074	-	1340	3983
STM2804	NC_003197.2	2951145	2951589	+	445	1529
STM2805	NC_003197.2	2951846	2952106	+	261	729
STM2806	NC_003197.2	2952092	2952513	+	422	742
STM2807	NC_003197.2	2952470	2954630	+	2161	5940
STM2808	NC_003197.2	2954629	2955600	+	972	2686
STM2809	NC_003197.2	2955884	2957157	+	1274	3691
STM2810	NC_003197.2	2957137	2958214	+	1078	3061
STM2811	NC_003197.2	2958273	2959279	+	1007	3115
STM2812	NC_003197.2	2959431	2960628	+	1198	3979
STM2813	NC_003197.2	2960989	2961655	+	667	2546
STM2814	NC_003197.2	2961770	2962954	+	1185	3519
STM2815	NC_003197.2	2962959	2964509	+	1551	4296
STM2816	NC_003197.2	2964558	2965933	-	1376	3935
STM2817	NC_003197.2	2966274	2966800	-	527	1973
STM2818	NC_003197.2	2966939	2968511	-	1573	4570
STM2819	NC_003197.2	2968572	2969014	-	443	910
STM2820	NC_003197.2	2968994	2969569	-	576	1625
STM2821	NC_003197.2	2969932	2970005	-	74	612
STM2822	NC_003197.2	2970202	2970275	-	74	493
STM2823	NC_003197.2	2970341	2970414	-	74	201
STM2824	NC_003197.2	2970480	2970553	-	74	14
STM2825	NC_003197.2	2970560	2970649	-	90	291
STM2826	NC_003197.2	2970955	2971152	-	198	989
STM2827	NC_003197.2	2971375	2974015	-	2641	7799
STM2828	NC_003197.2	2974241	2974751	-	511	1796
STM2829	NC_003197.2	2974858	2976032	-	1175	3420
STM2830	NC_003197.2	2976004	2976510	-	507	1335
STM2831	NC_003197.2	2976979	2978069	-	1091	3773
STM2832	NC_003197.2	2978191	2978875	+	685	1678
STM2833	NC_003197.2	2978859	2979843	+	985	2509
STM2834	NC_003197.2	2979844	2980217	+	374	668
STM2835	NC_003197.2	2980216	2981008	+	793	2101
STM2836	NC_003197.2	2981072	2981443	+	372	1254
STM2837	NC_003197.2	2981625	2982414	+	790	2235
STM2838	NC_003197.2	2982428	2983372	+	945	2293
STM2839	NC_003197.2	2983369	2984898	-	1530	4461
STM2840	NC_003197.2	2985066	2986514	+	1449	3986
STM2841	NC_003197.2	2986500	2987644	+	1145	3081
STM2842	NC_003197.2	2987741	2989997	-	2257	7235
STM2843	NC_003197.2	2990127	2990684	-	558	2269
STM2844	NC_003197.2	2990873	2991687	-	815	2331
STM2845	NC_003197.2	2991709	2992190	-	482	1007
STM2846	NC_003197.2	2992172	2992596	-	425	741
STM2847	NC_003197.2	2992579	2993357	-	779	1841
STM2848	NC_003197.2	2993346	2993899	-	554	1237
STM2849	NC_003197.2	2993898	2995607	-	1710	4532
STM2850	NC_003197.2	2995625	2996561	-	937	2330
STM2851	NC_003197.2	2996551	2998390	-	1840	5198
STM2852	NC_003197.2	2998377	2998997	-	621	2014
STM2853	NC_003197.2	2999131	2999606	-	476	1848
STM2854	NC_003197.2	2999794	3000158	+	365	1249
STM2855	NC_003197.2	3000215	3001099	+	885	2323
STM2856	NC_003197.2	3001076	3001362	+	287	278
STM2857	NC_003197.2	3001351	3002483	+	1133	2879
STM2858	NC_003197.2	3002516	3003490	+	975	3140
STM2859	NC_003197.2	3003696	3005787	+	2092	6469
STM2860	NC_003197.2	3005849	3006207	-	359	1166
STM2861	NC_003197.2	3006369	3007292	+	924	2813
STM2862	NC_003197.2	3007281	3008110	+	830	1918
STM2863	NC_003197.2	3008100	3008967	+	868	2099
STM2864	NC_003197.2	3008951	3009806	+	856	2268
STM2865	NC_003197.2	3009905	3010816	-	912	2658
STM2866	NC_003197.2	3010974	3011735	-	762	2490
STM2867	NC_003197.2	3012114	3013008	-	895	2622
STM2868	NC_003197.2	3013346	3013804	-	459	1131
STM2869	NC_003197.2	3013795	3014479	-	685	1350
STM2870	NC_003197.2	3014432	3015046	-	615	1088
STM2871	NC_003197.2	3015003	3015761	-	759	1633
STM2872	NC_003197.2	3015758	3016069	-	312	454
STM2873	NC_003197.2	3016082	3016331	-	250	385
STM2874	NC_003197.2	3016349	3017527	-	1179	3187
STM2875	NC_003197.2	3017838	3018772	+	935	2833
STM2876	NC_003197.2	3019846	3021524	+	1679	4713
STM2877	NC_003197.2	3021534	3022024	+	491	1043
STM2878	NC_003197.2	3022078	3023717	-	1640	4232
STM2879	NC_003197.2	3023696	3024095	-	400	667
STM2880	NC_003197.2	3024115	3024375	-	261	457
STM2881	NC_003197.2	3024419	3024672	-	254	525
STM2882	NC_003197.2	3024686	3026750	-	2065	5425
STM2883	NC_003197.2	3026762	3027799	-	1038	2415
STM2884	NC_003197.2	3027864	3029098	-	1235	3302
